,평점,일시,감상평
144,10,2016.04.15 05:31,남자배우 연기 끝장나네 아주;;; 굿....제이크 질렌할이라고? 얼굴은 많이 봤다했는데 이름은 오늘알았다...꼭 기억해두지
145,10,2016.02.14 15:39,주인공 눈빛 하나만으로도 10점 드립니다. 진짜 소름끼치게 일상적이면서도 무섭네요ㅠ
146,9,2015.05.31 20:24,질렌할 연기에 소름돋음... 진짜 싸이코패스급..
147,8,2015.03.11 13:07,성공학은 과연 성공을 위한 학문인가
148,7,2015.03.02 23:29,연기들이 너무 좋네요. 좋다 좋아
149,9,2015.03.02 13:59,질렌할..대단한배우인줄 이제야알아보았다! 내용면에서도 생각해봐야할 스토리..
150,10,2015.03.02 08:36,괜찮은영화올만에봤네~흡입력이대단하다
151,9,2015.03.01 23:24,"처음에 그저그런 영화겠거니... 하고 봤다가 멍하니 몰입해버렸네요. 공포영화도 아닌데 연출과 스토리 자체가 주는 공포는 상당합니니다. 또한 질렌할 연기 정말 무섭네요. 표정이나 대사나 할것없이, 진짜 이런 사람 만나면 섬뜩할 정도~~!!! "
152,10,2015.03.01 22:52,이 세상이 모두 조작된 것이 아닐까. 하는 생각이 들게 하는 영화.. 눈빛연기 짱!
153,10,2019.02.04 16:09,소재와 연기 연출만으로 이 정도 재미면 10점이 아니라 12점 주어 마땅하다
154,10,2015.03.03 15:33,오마이갓.. 구정에 본 영화 중 제일 좋네요. 또라이 연기를 이토록 잘하다니...
155,8,2015.03.03 01:51,"섬짓하지만 우습게도 우리가 만들어 낼, 혹은 만들어 낸 악마"
156,9,2015.03.02 23:39,질렌할의 섬뜩한 연기 악마를 보았다.
157,8,2015.03.01 03:06,소름끼침ㅠ헐 ㅠ걸음걸이 눈빛 표정 시선 말투 역대급 싸이코연기
158,8,2015.02.28 22:46,주인공의 연기가 소름끼치기는 하지만 뒤끝이 찝찝하다고나 해야하나?
159,10,2015.02.28 00:23,진짜 정떨어지게 연기 잘하는 제이크를 볼수있다ㅎ
160,2,2017.03.17 20:05,연기는 말할것도 없이 최고인데 영화 끝나고 엔딩 보고나면 찝찝하고 기분이 나빠지는 영화...
161,10,2015.03.02 13:24,"'나를찾아줘' 언론 버전 소시오패스, 더욱 직설적이며 극적이다!!!!끝장나는 전개"
162,9,2015.03.02 12:00,놀랏다. 앞으로 어떡해 살지 생각하게 됫다
163,10,2015.02.28 22:50,니나와 협상하며 연속으로 대사하는 장면 최고..소름 돋았다
